data
704001.74
733894.86
738457.06
743570.47
696579.47
627651.66
636654.44
645522.79
664784.32
657062.43
677551
730944.37
763906.01
764488.64
793611.23
790952.72
712920.46
707961.12
685081.57
686421.95
687756.06
688045.03
722608.16
786290.9
805834.37
838272.07
832411
816441.74
702202.01
709154.91
697170.25
734546.27
713323.3
722952.96
782297.68
820171.44
874357
877843
901913
912558
822368
752167
742666
761564
788053
798207
832584
863827
917398
908819
940638
921767
833209
809086
795902
839748
839605
835353
894521
917164
940797
973068
1014927
1016634
897256
845908
832818
847192
858948
870072
959801
1035231
1048371.6
1063736
1091851
1045106
929995
895372
893902
915299
939703
914797
960696
1033456
1111866
1149499
1130888
1079477
1036168
975806
960757
998381
1013575
1020582
1036634
1126012
1165205.63
1246471.47
1307533.47
1194041.53
1075804.65
1035926.52
1022001.59
1077418.37
1099316.65
1073768.49
1182225.55
1260976.1
1260627
1268508
1268178
1178874
1160503
1088309
1080262
1139007
1108043
1129613
1219401
1279086
1371375
1552666
1354454
1304682
1210462
1129243
1120099
1190076
1185527
1228703
1363207
1391738
1423852.02
1468664
1394635
1378983
1203345
1174355
1116501
1180559
1161470
1197395
1211843
1247150
1352653
1394509
1357823
1383419
1215606
1082493
1099260
1095412
1101469
1099866
1178434
1256083
1384355
1386440
1456678
1330808
1139470
1142548
1117027
1140863
1188087
1194519
1207313
1280794
1351221.99
1365541.5
1401412.64
1365752.57
1294824.43
1130663.52
1118044.11
1157135.16
1145578.72
1199662.74
1253653.13
1347100.58
1482138.21
1523768.42
1399618.12
1343136.01
1276694.79
1176295.47
1158707.53
1156687.29
1162529.551
1255707.23
1336587.36
1358280.48
1453545.7
1487690.13
1419091.75
1176546.53
1016722.31
998792.29
1032480.91
1056951.35
1109652.33
1176296.78
1217800.9
1309577.27
